Frames,LRU,SECOND,OPT
2,40496,60429,40353
4,40122,40147,40014
6,39956,39965,39908
8,39905,39912,39874
10,39894,39897,39863
12,39890,39892,39858
14,39887,39890,39856
16,39883,39888,39856
18,39881,39879,39856
20,39879,39877,39856
22,39878,39874,39856
24,39874,39874,39856
26,39874,39874,39856
28,39874,39874,39856
30,39874,39875,39856
32,39874,39874,39856
34,39874,39874,39856
36,39874,39874,39856
38,39874,39874,39856
40,39874,39874,39856
42,39874,39874,39856
44,39874,39874,39856
46,39874,39874,39856
48,39874,39874,39856
50,39874,39874,39856
52,39874,39874,39856
54,39874,39874,39856
56,39874,39874,39856
58,39874,39874,39856
60,39874,39874,39856
62,39874,39874,39856
64,39874,39874,39856
66,39874,39874,39856
68,39874,39874,39856
70,39874,39874,39856
72,39874,39874,39856
74,39874,39874,39856
76,39874,39874,39856
78,39874,39874,39856
80,39874,39874,39856
82,39874,39874,39856
84,39874,39874,39856
86,39874,39874,39856
88,39874,39874,39856
90,39874,39874,39856
92,39874,39874,39856
94,39874,39874,39856
96,39874,39874,39856
98,39874,39874,39856
100,39874,39874,39856
102,39874,39874,39856
104,39874,39874,39856
106,39874,39874,39856
108,39874,39874,39856
110,39874,39874,39856
112,39874,39874,39856
114,39874,39874,39856
116,39874,39874,39856
118,39874,39874,39856
120,39874,39874,39856
122,39874,39874,39856
124,39874,39874,39856
126,39874,39874,39856
128,39874,39874,39856
130,39874,39874,39856
132,39874,39874,39856
134,39874,39874,39856
136,39874,39874,39856
138,39874,39874,39856
140,39874,39874,39856
142,39874,39874,39856
144,39874,39874,39856
146,39874,39874,39856
148,39874,39874,39856
150,39874,39874,39856
152,39874,39874,39856
154,39874,39874,39856
156,39874,39874,39856
158,39874,39874,39856
160,39874,39874,39856
162,39874,39874,39856
164,39874,39874,39856
166,39874,39874,39856
168,39874,39874,39856
170,39874,39874,39856
172,39874,39874,39856
174,39874,39874,39856
176,39874,39874,39856
178,39874,39874,39856
180,39874,39874,39856
182,39874,39874,39856
184,39874,39874,39856
186,39874,39874,39856
188,39874,39874,39856
190,39874,39874,39856
192,39874,39874,39856
194,39874,39874,39856
196,39874,39874,39856
198,39874,39874,39856
200,39874,39874,39856
