Frames,LRU,SECOND,OPT
2,3006,2965,2575
4,1914,1976,1743
6,1614,1640,1536
8,1505,1519,1475
10,1486,1491,1457
12,1476,1476,1450
14,1470,1478,1446
16,1468,1465,1444
18,1465,1464,1442
20,1460,1462,1442
22,1458,1458,1442
24,1456,1456,1442
26,1456,1457,1442
28,1455,1457,1442
30,1455,1457,1442
32,1454,1456,1442
34,1454,1454,1442
36,1454,1454,1442
38,1454,1454,1442
40,1454,1454,1442
42,1454,1454,1442
44,1454,1454,1442
46,1454,1454,1442
48,1454,1454,1442
50,1454,1454,1442
52,1454,1454,1442
54,1454,1454,1442
56,1454,1454,1442
58,1454,1454,1442
60,1454,1454,1442
62,1454,1454,1442
64,1454,1454,1442
66,1454,1454,1442
68,1454,1454,1442
70,1454,1454,1442
72,1454,1454,1442
74,1454,1454,1442
76,1454,1454,1442
78,1454,1454,1442
80,1454,1454,1442
82,1454,1454,1442
84,1454,1454,1442
86,1454,1454,1442
88,1454,1454,1442
90,1454,1454,1442
92,1454,1454,1442
94,1454,1454,1442
96,1454,1454,1442
98,1454,1454,1442
100,1454,1454,1442
102,1454,1454,1442
104,1454,1454,1442
106,1454,1454,1442
108,1454,1454,1442
110,1454,1454,1442
112,1454,1454,1442
114,1454,1454,1442
116,1454,1454,1442
118,1454,1454,1442
120,1454,1454,1442
122,1454,1454,1442
124,1454,1454,1442
126,1454,1454,1442
128,1454,1454,1442
130,1454,1454,1442
132,1454,1454,1442
134,1454,1454,1442
136,1454,1454,1442
138,1454,1454,1442
140,1454,1454,1442
142,1454,1454,1442
144,1454,1454,1442
146,1454,1454,1442
148,1454,1454,1442
150,1454,1454,1442
152,1454,1454,1442
154,1454,1454,1442
156,1454,1454,1442
158,1454,1454,1442
160,1454,1454,1442
162,1454,1454,1442
164,1454,1454,1442
166,1454,1454,1442
168,1454,1454,1442
170,1454,1454,1442
172,1454,1454,1442
174,1454,1454,1442
176,1454,1454,1442
178,1454,1454,1442
180,1454,1454,1442
182,1454,1454,1442
184,1454,1454,1442
186,1454,1454,1442
188,1454,1454,1442
190,1454,1454,1442
192,1454,1454,1442
194,1454,1454,1442
196,1454,1454,1442
198,1454,1454,1442
200,1454,1454,1442
