Frames,GCC,GZIP,SWIM
2,123545,60429,71163
4,63392,40147,30825
6,33446,39965,12984
8,23680,39912,9916
10,17220,39897,4033
12,10773,39892,1051
14,8434,39890,681
16,6517,39888,579
18,4981,39879,501
20,3691,39877,448
22,2686,39874,399
24,1876,39874,362
26,1413,39874,327
28,1108,39874,271
30,921,39875,233
32,797,39874,213
34,706,39874,193
36,653,39874,189
38,603,39874,180
40,573,39874,179
42,549,39874,172
44,532,39874,165
46,509,39874,163
48,492,39874,157
50,486,39874,154
52,461,39874,151
54,443,39874,150
56,437,39874,151
58,430,39874,147
60,422,39874,148
62,424,39874,145
64,412,39874,147
66,402,39874,145
68,399,39874,143
70,400,39874,143
72,390,39874,142
74,387,39874,140
76,385,39874,140
78,380,39874,140
80,376,39874,140
82,372,39874,139
84,368,39874,140
86,369,39874,139
88,365,39874,139
90,367,39874,138
92,363,39874,138
94,362,39874,137
96,361,39874,137
98,356,39874,136
100,355,39874,135
102,350,39874,135
104,351,39874,135
106,347,39874,135
108,348,39874,135
110,349,39874,135
112,346,39874,135
114,345,39874,135
116,346,39874,135
118,345,39874,135
120,342,39874,135
122,342,39874,135
124,341,39874,135
126,338,39874,135
128,338,39874,135
130,338,39874,135
132,338,39874,135
134,335,39874,135
136,332,39874,135
138,333,39874,135
140,332,39874,135
142,330,39874,135
144,329,39874,135
146,325,39874,135
148,324,39874,135
150,322,39874,135
152,322,39874,135
154,320,39874,135
156,321,39874,135
158,321,39874,135
160,321,39874,135
162,321,39874,135
164,321,39874,135
166,320,39874,135
168,318,39874,135
170,318,39874,135
172,317,39874,135
174,316,39874,135
176,316,39874,135
178,316,39874,135
180,318,39874,135
182,319,39874,135
184,320,39874,135
186,320,39874,135
188,322,39874,135
190,323,39874,135
192,324,39874,135
194,323,39874,135
196,322,39874,135
198,320,39874,135
200,321,39874,135
