Frames,LRU,SECOND,OPT
2,67789,71163,57975
4,25225,30825,17082
6,12043,12984,7788
8,9387,9916,4417
10,2920,4033,1375
12,943,1051,564
14,646,681,426
16,530,579,358
18,481,501,301
20,423,448,260
22,384,399,228
24,352,362,203
26,307,327,181
28,269,271,161
30,218,233,149
32,205,213,144
34,194,193,142
36,182,189,140
38,173,180,138
40,171,179,136
42,168,172,135
44,165,165,135
46,157,163,135
48,155,157,135
50,154,154,135
52,150,151,135
54,149,150,135
56,144,151,135
58,144,147,135
60,143,148,135
62,141,145,135
64,140,147,135
66,139,145,135
68,139,143,135
70,138,143,135
72,138,142,135
74,138,140,135
76,137,140,135
78,136,140,135
80,136,140,135
82,135,139,135
84,135,140,135
86,135,139,135
88,135,139,135
90,135,138,135
92,135,138,135
94,135,137,135
96,135,137,135
98,135,136,135
100,135,135,135
102,135,135,135
104,135,135,135
106,135,135,135
108,135,135,135
110,135,135,135
112,135,135,135
114,135,135,135
116,135,135,135
118,135,135,135
120,135,135,135
122,135,135,135
124,135,135,135
126,135,135,135
128,135,135,135
130,135,135,135
132,135,135,135
134,135,135,135
136,135,135,135
138,135,135,135
140,135,135,135
142,135,135,135
144,135,135,135
146,135,135,135
148,135,135,135
150,135,135,135
152,135,135,135
154,135,135,135
156,135,135,135
158,135,135,135
160,135,135,135
162,135,135,135
164,135,135,135
166,135,135,135
168,135,135,135
170,135,135,135
172,135,135,135
174,135,135,135
176,135,135,135
178,135,135,135
180,135,135,135
182,135,135,135
184,135,135,135
186,135,135,135
188,135,135,135
190,135,135,135
192,135,135,135
194,135,135,135
196,135,135,135
198,135,135,135
200,135,135,135
