Frames,LRU,SECOND,OPT
2,133313,130166,97209
4,65876,62008,35969
6,25742,27432,14947
8,10171,12642,6341
10,6126,7294,3374
12,3370,4139,1851
14,1853,2117,1005
16,1029,1207,574
18,638,676,371
20,428,485,257
22,338,360,190
24,265,278,147
26,187,212,122
28,160,170,107
30,142,149,97
32,133,141,93
34,130,128,91
36,120,119,89
38,112,116,89
40,106,109,89
42,101,105,89
44,99,102,89
46,97,100,89
48,96,96,89
50,96,95,89
52,94,95,89
54,93,94,89
56,93,92,89
58,92,91,89
60,92,90,89
62,92,90,89
64,92,90,89
66,91,90,89
68,91,90,89
70,91,90,89
72,90,90,89
74,90,90,89
76,90,90,89
78,89,90,89
80,89,89,89
82,89,89,89
84,89,89,89
86,89,89,89
88,89,89,89
90,89,89,89
92,89,89,89
94,89,89,89
96,89,89,89
98,89,89,89
100,89,89,89
102,89,89,89
104,89,89,89
106,89,89,89
108,89,89,89
110,89,89,89
112,89,89,89
114,89,89,89
116,89,89,89
118,89,89,89
120,89,89,89
122,89,89,89
124,89,89,89
126,89,89,89
128,89,89,89
130,89,89,89
132,89,89,89
134,89,89,89
136,89,89,89
138,89,89,89
140,89,89,89
142,89,89,89
144,89,89,89
146,89,89,89
148,89,89,89
150,89,89,89
152,89,89,89
154,89,89,89
156,89,89,89
158,89,89,89
160,89,89,89
162,89,89,89
164,89,89,89
166,89,89,89
168,89,89,89
170,89,89,89
172,89,89,89
174,89,89,89
176,89,89,89
178,89,89,89
180,89,89,89
182,89,89,89
184,89,89,89
186,89,89,89
188,89,89,89
190,89,89,89
192,89,89,89
194,89,89,89
196,89,89,89
198,89,89,89
200,89,89,89
